SampleName,Date,Month,MonthYear,StartTime,EndTime,StartTimeEpoch,EndTimeEpoch,SampleLabel,BottleNumber,SampleID,Site,SampleDepth,Season,TideDirection,TideType,SamplingDirection,Depth,Pressure,Latitude,Longitude,Distance,Tide,vvhA,TotalProkaryotes,LabChla,Rainfall,Rainfall_5Day,AirTemp,AirTemp_Max,Discharge,Discharge_3Day,TotalN,NOx,NH3,TDN,PON,DON,TotalP,Phosphate,DOP,Silicate,DOC,POC,TOC,ChlorophyllRaw,Chlorophyll,LabpH,LabConductivity,LabSalinity,Conductivity,Density,Salinity,WaterTemp,O2Sat,O2ConcentrationRaw,O2Conc,TurbidityRaw,Turbidity,M:C,BIX,HIX,FI,UVHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,FulvicAcid-like,OpticalBrighteners,DieselBandII,Petroleum-like,Lignin-like
72-Oct-S1-B,2018-10-21,October,18-Oct,8:15:00 AM,8:16:00 AM,1540145700,1540145760,S1-B,3,72,8,Bottom,Rainy,Flood,HL,Back-Offshore,1.351990998,117.8630246,21.27527677,-157.8179664,62.97013373,0.2175,2.661532375,5372.74,45.925,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,38.2987383,1.547080698,0.236609754,29.65738758,12.89178954,36.51504785,1.302229391,0.129009618,1.173219773,24.27449153,169.9417152,97.84132958,267.7830448,883.0392157,10.10397451,NA,NA,NA,54.19094262,1020.176582,32.63880328,29.34786885,18.64848936,44.49576596,1.423864511,509.9803922,2.805880392,1.118665596,0.682262331,4.685663449,1.553212221,0.20339994,0.208985547,0.186816818,0.167280024,0.096815057,0.043558435,0.106700777,0.152157525,0.090557878,0.224916528,0.175750275
71-Oct-S1-M,2018-10-21,October,18-Oct,8:07:00 AM,8:08:00 AM,1540145220,1540145280,S1-M,2,71,8,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.961765606,113.9431311,21.27526149,-157.817924,58.66100651,0.222666667,4.206955979,5790.53,54.97619048,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,41.12869006,8.744648653,13.11590336,26.07423269,13.03457835,19.26813805,1.574871733,0.117373819,1.457497914,72.7366291,165.5287261,80.65427375,246.1829998,1160.566038,13.46204906,NA,NA,NA,53.79437705,1019.926344,32.33108197,29.4067377,32.49355319,77.41502128,2.477280681,470.0943396,2.562575472,1.119412122,0.69018579,5.150503827,1.563336934,0.205420945,0.213818695,0.191009809,0.124530062,0.077118868,0.029603034,0.112508957,0.153885026,0.098015727,0.229548153,0.16515465
70-Oct-S1-S,2018-10-21,October,18-Oct,7:59:00 AM,8:01:00 AM,1540144740,1540144860,S1-S,1,70,8,Surface,Rainy,Flood,HL,Back-Offshore,0.292930811,107.2245496,21.27535448,-157.8179262,66.62547855,0.215559524,12.64737806,5310.22,164.9772727,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,88.45881273,2.482400261,17.79182696,76.37401856,15.04382087,68.18458551,1.631322334,0.212907426,1.418414908,24.654734,187.427144,107.4874903,294.9146343,1171.607843,13.5956549,NA,NA,NA,43.83692975,1015.88374,26.3928719,28.16766116,78.37755319,190.5293404,6.096938894,564.0588235,3.135758824,1.097324829,0.712651064,4.360392075,1.543965013,0.222247559,0.227836763,0.207629279,0.184812541,0.10114411,0.046465831,0.144750431,0.167709479,0.141939291,0.268466167,0.211279688
73-Oct-S3-B,2018-10-21,October,18-Oct,8:40:00 AM,8:41:00 AM,1540147200,1540147260,S2-B,4,73,7,Bottom,Rainy,Flood,HL,Back-Offshore,1.790891444,122.2718689,21.27814864,-157.8209552,508.2618849,0.234666667,4.163952488,5180.47,27.6,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,24.10650421,13.06724283,8.212333007,27.20199857,8.189958071,2.826928373,0.435889238,0.158006769,0.277882469,190.4404511,145.9616986,65.08482318,211.0465218,574.5555556,6.371322222,NA,NA,NA,54.2802541,1020.463057,32.89417213,29.06289344,9.042680851,21.66653191,0.693329021,594,3.3184,1.103767018,0.667091715,5.202504573,1.552335763,0.206685414,0.209937503,0.19020092,0.122968706,0.07898797,0.037573446,0.097810744,0.15237165,0.077161914,0.222480371,0.155428395
74-Oct-S3-M,2018-10-21,October,18-Oct,8:46:00 AM,8:47:00 AM,1540147560,1540147620,S2-M,5,74,7,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.688447817,111.1975984,21.27814912,-157.8209672,509.1762471,0.246666667,1.505082627,5161.98,30.225,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,29.3040293,11.23722708,16.19054973,29.50035689,13.9729048,1.87625249,0.341023031,0.165856316,0.175166715,97.75048099,197.0857619,100.1131134,297.1988753,727.1020408,8.217134694,NA,NA,NA,49.80796721,1018.219459,29.88763115,29.03557377,73.45221277,176.1154043,5.635692936,521.1020408,2.873722449,1.074322181,0.643620225,6.28538233,1.539911486,0.258371627,0.256373822,0.238637744,0.130415461,0.081185583,0.041306864,0.146609612,0.191801656,0.134054076,0.296342346,0.196755568
75-Oct-S3-S,2018-10-21,October,18-Oct,8:51:00 AM,8:53:00 AM,1540147860,1540147980,S2-S,6,75,7,Surface,Rainy,Flood,HL,Back-Offshore,0.29342815,107.2295455,21.27813676,-157.8209899,509.8529938,0.251,12.24479249,4379.8,50.175,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,84.16941608,6.355012522,18.31087234,58.94361171,10.61736781,59.50353122,1.313009642,0.189728175,1.123281467,46.89422417,173.1057452,78.77499706,251.8807423,492.5784314,5.37939902,NA,NA,NA,37.13520248,1012.937814,22.2200124,27.60964463,113.9305806,280.0915591,8.962929892,484.9901961,2.653440196,1.14830674,0.667696733,5.146697817,1.50655167,0.227230215,0.235784635,0.205332449,0.146517141,0.090784391,0.044203569,0.111691341,0.162573492,0.092685873,0.254327833,0.201699877
76-Oct-S5-B,2018-10-21,October,18-Oct,9:08:00 AM,9:10:00 AM,1540148880,1540149000,S3-B,7,76,6,Bottom,Rainy,Flood,HL,Back-Offshore,0.783108841,112.1484876,21.28282863,-157.8264325,1278.651987,0.268,NA,3387.35,35.20454545,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,44.82460014,22.44668741,0.899197933,36.19557459,9.271073333,21.4787148,1.049187505,0.21198395,0.837203555,149.9070732,175.3538718,61.23111654,236.5849883,522.3398058,5.73951165,NA,NA,NA,49.58493802,1018.611306,30.13571901,28.40469835,35.55426596,86.20712766,2.758628085,990.3009709,5.735835922,1.095858825,0.597104845,7.644495763,1.504397938,0.275604428,0.270757053,0.247072932,0.112035361,0.066744875,0.034463021,0.129636441,0.194352113,0.102405472,0.304752407,0.185417763
77-Oct-S5-M,2018-10-21,October,18-Oct,9:14:00 AM,9:15:00 AM,1540149240,1540149300,S3-M,8,77,6,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.510183958,109.4069016,21.2829921,-157.826465,1293.717659,0.275333333,18.30895406,3559,19.42857143,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,53.65131323,5.617631434,5.595069264,41.42041399,7.384221225,42.43861253,0.911984313,0.201133105,0.710851208,44.89912479,177.1856786,60.5888321,237.7745107,372.82,3.930322,NA,NA,NA,43.05531967,1015.604541,25.95443443,28.01468852,44.62723404,108.9391489,3.486052766,651.58,3.669638,1.115508385,0.593030423,7.236951886,1.498475163,0.308610226,0.302999534,0.271624613,0.121671654,0.075076398,0.050740806,0.14055538,0.213552268,0.110554896,0.332511211,0.217447897
78-Oct-S5-S,2018-10-21,October,18-Oct,9:18:00 AM,9:20:00 AM,1540149480,1540149600,S3-S,9,78,6,Surface,Rainy,Flood,HL,Back-Offshore,0.253290989,106.8263595,21.2829365,-157.8265241,1293.825523,0.285333333,33.49192219,3052.98,11.55,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,58.90508231,2.194733247,16.04842214,48.09421842,5.374978709,40.66192692,0.381399971,0.156944772,0.224455199,28.71065369,155.0374688,45.45946531,200.4969341,197.5346535,1.809369307,NA,NA,NA,26.60974793,1008.645397,15.88659504,26.12362397,59.69416129,150.4300968,4.813763097,613.1386139,3.435145545,1.139854634,0.585157493,6.994454274,1.476232759,0.285055918,0.281943953,0.247350797,0.109035899,0.06777571,0.047305082,0.122152901,0.192050469,0.090758915,0.30067615,0.193907494
79-Oct-S7-B,2018-10-21,October,18-Oct,9:35:00 AM,9:36:00 AM,1540150500,1540150560,S4-B,10,79,5,Bottom,Rainy,Flood,HL,Back-Offshore,1.594316098,120.2972295,21.28709542,-157.8312354,1966.974323,0.2985,15.85412093,1302,19.075,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,33.70396349,30.52243437,2.680072143,27.29478944,3.630915409,0.501456977,0.867295274,0.358539615,0.508755659,106.5594316,119.4837635,29.93759136,149.4213549,371.254902,3.911384314,NA,NA,NA,52.98656557,1020.734852,32.77129508,27.95322951,31.31708333,76.545375,2.449452,1477.176471,8.705776471,1.079219464,0.608670418,6.243857832,1.533406269,0.16487705,0.162502317,0.15057393,0.06570482,0.047448594,0.028402591,0.076447133,0.121211936,0.058266144,0.180931936,0.119013143
