latitude,longitude,temperature,salinity,turbidity,time,ts,depth
21.30224037,-157.9092712,24.38381004,34.1138649,-1.31E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.30129433,-157.9081726,24.17780304,34.106884,1.36E-15,2019-02-18 00:00:00 HST,1550484000,0.25
21.30046272,-157.9072266,23.96619797,34.09721756,9.74E-16,2019-02-18 00:00:00 HST,1550484000,0.25
21.29974365,-157.9063873,23.86517525,34.09189224,8.73E-16,2019-02-18 00:00:00 HST,1550484000,0.25
21.29913521,-157.9056854,23.75283813,34.08843613,8.02E-16,2019-02-18 00:00:00 HST,1550484000,0.25
21.29878426,-157.9052887,23.68125343,34.08849716,3.10E-16,2019-02-18 00:00:00 HST,1550484000,0.25
21.29847717,-157.9049377,23.65747261,34.07507324,2.09E-16,2019-02-18 00:00:00 HST,1550484000,0.25
21.29816818,-157.9045868,23.64910316,34.06357574,2.06E-17,2019-02-18 00:00:00 HST,1550484000,0.25
21.2978611,-157.9042206,23.64163399,34.05751419,1.61E-17,2019-02-18 00:00:00 HST,1550484000,0.25
21.29755402,-157.9038696,23.63354683,34.05646133,1.10E-17,2019-02-18 00:00:00 HST,1550484000,0.25
21.29724693,-157.9035187,23.62419319,34.05830383,7.19E-18,2019-02-18 00:00:00 HST,1550484000,0.25
21.29693985,-157.9031677,23.61563301,34.06032181,5.21E-18,2019-02-18 00:00:00 HST,1550484000,0.25
21.29663277,-157.9028168,23.60772705,34.0592041,4.68E-18,2019-02-18 00:00:00 HST,1550484000,0.25
21.29632568,-157.9024506,23.60106468,34.05475616,4.22E-18,2019-02-18 00:00:00 HST,1550484000,0.25
21.29601669,-157.9020996,23.5950489,34.04590225,2.58E-18,2019-02-18 00:00:00 HST,1550484000,0.25
21.29570961,-157.9017487,23.59380722,34.04262161,7.16E-19,2019-02-18 00:00:00 HST,1550484000,0.25
21.29540253,-157.9013977,23.59447289,34.03804398,1.53E-19,2019-02-18 00:00:00 HST,1550484000,0.25
21.29509544,-157.9010468,23.60222244,34.03642273,1.24E-19,2019-02-18 00:00:00 HST,1550484000,0.25
21.29478836,-157.9006958,23.61383629,34.02373886,1.96E-19,2019-02-18 00:00:00 HST,1550484000,0.25
