Cruise,Day,Time,TimeStamp,Conductivity,Density [kg/m3],Salinity [PSU],Temperature1 [C],Chlorophyll [raw],Turbidity [raw],TurbidityNTU,Chlorophyll [ug/L],O2 Saturation [%],O2 Concentration [raw],Temperature2 [C],O2 Concentration [mg/L],Temperature3 [C],Depth [m],Pressure [kPa],DateTime,Latitude [N],Longitude [E],Distance [m]
October,10/21/18,8:16:56,1540145816,54.177,1020.175,32.634,29.341,1028,539,2.9829,11.858,13.407,31.984,29.354,1.023488,29.075,1.36094805,117.953,10/21/18 18:16,21.27518301,-157.8180317,61.76914662
October,10/21/18,8:16:57,1540145817,54.184,1020.172,32.634,29.349,1043,522,2.8792,12.0395,13.395,31.955,29.354,1.02256,29.0745,1.356717175,117.9105,10/21/18 18:16,21.27517461,-157.8180407,62.06329012
October,10/21/18,8:16:58,1540145818,54.186,1020.1735,32.635,29.348,1043,519,2.8609,12.0395,13.357,31.865,29.355,1.01968,29.074,1.3524863,117.868,10/21/18 18:16,21.27516201,-157.8180407,61.34214631
October,10/21/18,8:16:59,1540145819,54.189,1020.178,32.639,29.346,NA,NA,NA,NA,NA,NA,NA,NA,29.075,1.35139125,117.857,10/21/18 18:16,21.27514941,-157.8180407,60.64487252
October,10/21/18,8:17:00,1540145820,54.192,1020.183,32.644,29.341,1052,509,2.7999,12.1484,13.26,31.634,29.356,1.012288,29.078,1.34223265,117.765,10/21/18 18:17,21.27514941,-157.8180407,60.64487252
October,10/21/18,8:17:01,1540145821,54.1925,1020.1835,32.645,29.3405,NA,NA,NA,NA,13.155,31.383,29.356,1.004256,29.0765,1.344074325,117.7835,10/21/18 18:17,21.27514101,-157.8180497,61.01609096
October,10/21/18,8:17:02,1540145822,54.191,1020.187,32.647,29.336,1030,535,2.9585,11.8822,13.069,31.178,29.357,0.997696,29.075,1.345916,117.802,10/21/18 18:17,21.27514101,-157.8180497,61.01609096
October,10/21/18,8:17:03,1540145823,54.188,1020.181,32.642,29.341,NA,NA,NA,NA,NA,NA,NA,NA,29.074,1.3387484,117.73,10/21/18 18:17,21.27514101,-157.8180497,61.01609096
October,10/21/18,8:17:04,1540145824,54.178,1020.175,32.6345,29.3415,1002,535,2.9585,11.5434,13.033,31.09,29.357,0.99488,29.074,1.26259265,116.965,10/21/18 18:17,21.27514101,-157.8180452,60.60449037
October,10/21/18,8:17:05,1540145825,54.186,1020.172,32.633,29.351,1021,524,2.8914,11.7733,12.783,30.495,29.356,0.97584,29.074,1.1864369,116.2,10/21/18 18:17,21.27514101,-157.8180407,60.19369527
October,10/21/18,8:17:06,1540145826,54.178,1020.172,32.632,29.346,933,506,2.7816,10.7085,12.658,30.196,29.356,0.966272,29.076,1.0022694,114.35,10/21/18 18:17,21.27514101,-157.8180407,60.19369527
October,10/21/18,8:17:07,1540145827,54.0565,1020.1105,32.5495,29.346,917,471,2.5681,10.5149,12.504,29.829,29.356,0.954528,29.082,0.8206902,112.526,10/21/18 18:17,21.27514101,-157.8180407,60.19369527
October,10/21/18,8:17:08,1540145828,53.961,1020.066,32.488,29.341,1060,506,2.7816,12.2452,NA,NA,NA,NA,29.082,0.723877825,111.5535,10/21/18 18:17,21.27514521,-157.8180362,60.00945477
October,10/21/18,8:17:09,1540145829,53.713,1019.938,32.3185,29.344,1249,503,2.7633,14.5321,12.947,30.888,29.355,0.988416,29.082,0.62706545,110.581,10/21/18 18:17,21.27514941,-157.8180317,59.83194272
October,10/21/18,8:17:10,1540145830,53.369,1019.765,32.087,29.342,1285,557,3.0927,14.9677,14.601,34.833,29.357,1.114656,29.09,0.694859,111.262,10/21/18 18:17,21.27515781,-157.8180227,59.49734255
October,10/21/18,8:17:11,1540145831,52.964,1019.562,31.815,29.341,1284,629,3.5319,14.9556,17.286,41.236,29.359,1.319552,29.096,0.69296755,111.243,10/21/18 18:17,21.27517461,-157.8180137,59.69308227
October,10/21/18,8:17:12,1540145832,52.202,1019.1765,31.3015,29.3415,NA,NA,NA,NA,NA,NA,NA,NA,29.099,0.662057275,110.9325,10/21/18 18:17,21.27517461,-157.8180137,59.69308227
October,10/21/18,8:17:13,1540145833,52.27,1019.198,31.337,29.357,1278,602,3.3672,14.883,20.182,48.142,29.362,1.540544,29.102,0.631147,110.622,10/21/18 18:17,21.27517461,-157.8180137,59.69308227
October,10/21/18,8:17:14,1540145834,52.3285,1019.228,31.3765,29.3565,NA,NA,NA,NA,21.489,51.256,29.365,1.640192,29.106,0.48968645,109.201,10/21/18 18:17,21.27518301,-157.8180137,60.20613551
October,10/21/18,8:17:15,1540145835,51.993,1019.052,31.145,29.365,1286,582,3.2452,14.9798,24.027,57.308,29.368,1.833856,29.1065,0.443246375,108.7345,10/21/18 18:17,21.27518301,-157.8180137,60.20613551
October,10/21/18,8:17:16,1540145836,51.183,1018.655,30.609,29.354,1314,571,3.1781,15.3186,NA,NA,NA,NA,29.107,0.3968063,108.268,10/21/18 18:17,21.27518301,-157.8180137,60.20613551
October,10/21/18,8:17:17,1540145837,48.994,1017.557,29.145,29.3595,1173,608,3.4038,13.6125,26.557,63.338,29.37,2.026816,29.1,0.32025235,107.499,10/21/18 18:17,21.27518301,-157.8180137,60.20613551
October,10/21/18,8:17:18,1540145838,47.292,1016.713,28.016,29.359,1193,616,3.4526,13.8545,29.541,70.457,29.369,2.254624,29.089,0.2182136,106.474,10/21/18 18:17,21.27517461,-157.8180047,58.91141244
October,10/21/18,8:17:19,1540145839,47.3725,1016.756,28.072,29.355,1113,618,3.4648,12.8865,31.678,75.564,29.362,2.418048,29.082,0.221249875,106.5045,10/21/18 18:17,21.27517461,-157.8180047,58.91141244
October,10/21/18,8:17:20,1540145840,45.343,1015.766,26.741,29.342,934,627,3.5197,10.7206,33.726,80.46,29.354,2.57472,29.075,0.22428615,106.535,10/21/18 18:17,21.27517461,-157.8180047,58.91141244
October,10/21/18,8:17:21,1540145841,43.638,1014.933,25.625,29.339,NA,NA,NA,NA,NA,NA,NA,NA,29.046,0.21632215,106.455,10/21/18 18:17,21.27518021,-157.8180047,59.25681395
October,10/21/18,8:26:41,1540146401,29.8865,1009.775,17.726,26.961,307,435,2.3485,3.1339,79.01,196.826,26.909,6.298432,NA,NA,NA,10/21/18 18:26,21.27611531,-157.8189691,202.6728929
October,10/21/18,8:26:42,1540146402,29.866,1009.767,17.714,26.958,313,439,2.3729,3.2065,NA,NA,NA,NA,NA,NA,NA,10/21/18 18:26,21.27611531,-157.8189601,201.9864912
October,10/21/18,8:26:43,1540146403,29.854,1009.766,17.709,26.95,313,444,2.4034,3.2065,78.435,195.41,26.904,6.25312,NA,NA,NA,10/21/18 18:26,21.27610691,-157.8189601,201.352768
October,10/21/18,8:26:44,1540146404,29.9005,1009.7945,17.743,26.939,NA,NA,NA,NA,78.639,195.935,26.899,6.26992,NA,NA,NA,10/21/18 18:26,21.27610691,-157.8189601,201.352768
October,10/21/18,8:26:45,1540146405,29.908,1009.798,17.748,26.94,318,447,2.4217,3.267,78.21,194.88,26.895,6.23616,NA,NA,NA,10/21/18 18:26,21.27611531,-157.8189601,201.9864912
October,10/21/18,8:26:46,1540146406,30.097,1009.8975,17.876,26.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/21/18 18:26,21.27612371,-157.8189691,203.3068019
October,10/21/18,8:26:47,1540146407,30.198,1009.951,17.945,26.921,325,433,2.3363,3.3517,78.167,194.786,26.891,6.233152,NA,NA,NA,10/21/18 18:26,21.2761321,-157.8189691,203.9422692
October,10/21/18,8:26:48,1540146408,30.198,1009.957,17.949,26.909,325,434,2.3424,3.3517,78.274,195.064,26.888,6.242048,NA,NA,NA,10/21/18 18:26,21.2761321,-157.8189691,203.9422692
October,10/21/18,8:26:49,1540146409,30.4015,1010.057,18.082,26.9085,356,435,2.3485,3.7268,77.555,193.281,26.885,6.184992,NA,NA,NA,10/21/18 18:26,21.2761405,-157.8189691,204.580788
October,10/21/18,8:26:50,1540146410,30.656,1010.185,18.251,26.903,NA,NA,NA,NA,NA,NA,NA,NA,27.3685,0.1320033,105.608,10/21/18 18:26,21.2761405,-157.8189691,204.580788
October,10/21/18,8:26:51,1540146411,30.95,1010.333,18.447,26.896,375,434,2.3424,3.9567,77.911,194.174,26.884,6.213568,27.369,0.157289,105.862,10/21/18 18:26,21.2761405,-157.8189601,203.9008092
October,10/21/18,8:26:52,1540146412,31.317,1010.511,18.686,26.8995,NA,NA,NA,NA,78.029,194.47,26.883,6.22304,27.371,0.1969099,106.26,10/21/18 18:26,21.2761489,-157.8189646,204.8824052
October,10/21/18,8:26:53,1540146413,32.821,1011.257,19.68,26.891,446,444,2.4034,4.8158,77.775,193.834,26.884,6.202688,27.379,0.22368885,106.529,10/21/18 18:26,21.2761573,-157.8189691,205.8646265
October,10/21/18,8:26:54,1540146414,33.5125,1011.6005,20.139,26.889,461,447,2.4217,4.9973,77.82,193.924,26.89,6.205568,27.387,0.2504678,106.798,10/21/18 18:26,21.2761573,-157.8189691,205.8646265
October,10/21/18,8:26:55,1540146415,37.823,1013.749,23.015,26.901,650,528,2.9158,7.2842,NA,NA,NA,NA,27.423,0.27664945,107.061,10/21/18 18:26,21.2761573,-157.8189736,206.2032433
October,10/21/18,8:26:56,1540146416,37.762,1013.716,22.972,26.904,609,514,2.8304,6.7881,79.173,197.275,26.897,6.3128,27.465,0.32562805,107.553,10/21/18 18:26,21.2761657,-157.8189691,206.5099038
October,10/21/18,8:26:57,1540146417,39.287,1014.4695,23.989,26.931,589,504,2.7694,6.5461,79.77,198.659,26.926,6.357088,27.4855,0.34932095,107.791,10/21/18 18:26,21.2761657,-157.8189691,206.5099038
October,10/21/18,8:26:58,1540146418,40.139,1014.868,24.541,26.98,611,527,2.9097,6.8123,79.949,198.995,26.957,6.36784,27.506,0.37301385,108.029,10/21/18 18:26,21.2761657,-157.8189781,207.1855264
October,10/21/18,8:26:59,1540146419,41.1165,1015.337,25.183,27.021,629,550,3.05,7.0301,NA,NA,NA,NA,27.554,0.41243565,108.425,10/21/18 18:26,21.2761573,-157.8189781,206.5423599
October,10/21/18,8:27:00,1540146420,42.334,1015.919,25.983,27.076,662,576,3.2086,7.4294,81.012,201.566,26.977,6.450112,27.5795,0.44170335,108.719,10/21/18 18:27,21.2761573,-157.8189781,206.5423599
October,10/21/18,8:27:01,1540146421,43.005,1016.235,26.42,27.113,NA,NA,NA,NA,81.009,201.433,27.012,6.445856,27.605,0.47097105,109.013,10/21/18 18:27,21.2761489,-157.8189871,206.5832628
October,10/21/18,8:27:02,1540146422,43.228,1016.308,26.541,27.17,669,594,3.3184,7.5141,81.959,203.642,27.053,6.516544,27.655,0.46340525,108.937,10/21/18 18:27,21.2761405,-157.8189871,205.9467069
October,10/21/18,8:27:03,1540146423,43.3105,1016.29,26.551,27.252,NA,NA,NA,NA,NA,NA,NA,NA,27.704,0.43871685,108.689,10/21/18 18:27,21.2761405,-157.8189781,205.2627605
October,10/21/18,8:27:04,1540146424,42.905,1016.028,26.232,27.327,634,581,3.2391,7.0906,82.916,205.846,27.1,6.587072,27.721,0.442051775,108.7225,10/21/18 18:27,21.2761321,-157.8189781,204.6263698
October,10/21/18,8:27:05,1540146425,41.6855,1015.357,25.366,27.398,NA,NA,NA,NA,82.173,203.775,27.162,6.5208,27.738,0.4453867,108.756,10/21/18 18:27,21.2761321,-157.8189871,205.3124362
October,10/21/18,8:27:06,1540146426,42.732,1015.846,26.043,27.456,751,587,3.2757,8.5063,82.929,205.451,27.216,6.574432,27.766,0.4306533,108.608,10/21/18 18:27,21.2761405,-157.8189871,205.9467069
October,10/21/18,8:27:07,1540146427,40.79,1014.84,24.713,27.49,NA,NA,NA,NA,83.501,206.642,27.278,6.612544,27.805,0.4587264,108.89,10/21/18 18:27,21.2761405,-157.8189961,206.6326076
October,10/21/18,8:27:08,1540146428,45.422,1017.1695,27.836,27.5225,869,584,3.2574,9.9341,NA,NA,NA,NA,27.822,0.46081695,108.911,10/21/18 18:27,21.2761405,-157.8189961,206.6326076
October,10/21/18,8:27:09,1540146429,45.748,1017.296,28.027,27.576,821,579,3.2269,9.3533,82.97,205.074,27.347,6.562368,27.839,0.4629075,108.932,10/21/18 18:27,21.2761405,-157.8189961,206.6326076
