Model,Parameter,Time,Year,Month,Resolution,Ala Wai Canal,NOAA USC00516122 (Manoa),NOAA USW00022521 (HNL)
State,RF,pres,1990,1,250m,37.96211619,57.59594275,65.250302
State,RF,pres,1990,2,250m,247.3896127,278.4535088,210.4840978
State,RF,pres,1990,3,250m,82.1576472,97.71317222,82.1618913
State,RF,pres,1990,4,250m,90.62175161,131.9042554,117.000309
State,RF,pres,1990,5,250m,5.502745575,23.00957466,2.241182288
State,RF,pres,1990,6,250m,6.860491045,39.4109527,29.99453735
State,RF,pres,1990,7,250m,0.817489634,10.75560001,0.254973908
State,RF,pres,1990,8,250m,28.39071886,83.2007602,40.42109203
State,RF,pres,1990,9,250m,13.65216602,32.35276987,17.01808739
State,RF,pres,1990,10,250m,7.561781609,9.463630749,1.360057399
State,RF,pres,1990,11,250m,175.1329746,276.8798061,160.6293043
State,RF,pres,1990,12,250m,10.82126956,54.64876136,7.141755899
State,RF,pres,1991,1,250m,25.62407654,56.93099549,55.9467872
State,RF,pres,1991,2,250m,20.53558018,30.06936355,11.43852631
State,RF,pres,1991,3,250m,81.32050632,226.2713021,69.1888574
State,RF,pres,1991,4,250m,2.583299258,34.22463435,6.061562419
State,RF,pres,1991,5,250m,6.043958096,21.59367183,2.203129917
State,RF,pres,1991,6,250m,10.28851219,27.92379649,3.497783363
State,RF,pres,1991,7,250m,12.41374479,43.16858139,17.76715597
State,RF,pres,1991,8,250m,5.602591627,22.67036969,8.883753697
State,RF,pres,1991,9,250m,14.9452338,46.02408565,18.80895519
State,RF,pres,1991,10,250m,13.30477563,26.36257823,52.06053734
State,RF,pres,1991,11,250m,16.14393963,42.82750186,21.19892009
State,RF,pres,1991,12,250m,6.80289754,23.37171456,30.06528123
State,RF,pres,1992,1,250m,261.7057833,243.189418,193.0526352
State,RF,pres,1992,2,250m,48.88773337,75.56477635,58.2843043
State,RF,pres,1992,3,250m,10.66938593,32.0179676,9.583762725
State,RF,pres,1992,4,250m,33.46547014,84.58163202,25.52709309
State,RF,pres,1992,5,250m,10.9125949,22.31263751,15.47794302
State,RF,pres,1992,6,250m,0.395290673,8.994012169,0.97873491
State,RF,pres,1992,7,250m,19.06626054,43.22525069,69.51662127
State,RF,pres,1992,8,250m,3.579023948,23.91732131,3.006892542
State,RF,pres,1992,9,250m,6.145176451,17.86275896,8.107076724
State,RF,pres,1992,10,250m,35.04687239,118.3750844,29.31155809
State,RF,pres,1992,11,250m,91.95177451,104.0387528,94.59508197
State,RF,pres,1992,12,250m,90.99272556,118.1489354,184.1898804
State,RF,pres,1993,1,250m,55.12205734,74.36197926,50.75397205
State,RF,pres,1993,2,250m,26.47237087,36.18006148,20.24670871
State,RF,pres,1993,3,250m,16.17755727,28.08738642,14.49518927
