Model,Parameter,Time,Year,Month,Resolution,Ala Wai Canal,NOAA USC00516122 (Manoa),NOAA USW00022521 (HNL)
State,RF,rcp45,2080,1,250m,103.8648182,144.5137947,228.1617126
State,RF,rcp45,2080,2,250m,21.95089781,47.6109359,44.20246633
State,RF,rcp45,2080,3,250m,111.6132291,107.7835951,69.7499059
State,RF,rcp45,2080,4,250m,50.16570992,44.52934183,46.18406709
State,RF,rcp45,2080,5,250m,22.09031025,66.11655442,28.1185991
State,RF,rcp45,2080,6,250m,4.214165919,9.252903448,3.06444325
State,RF,rcp45,2080,7,250m,1.606921467,22.67631744,2.55523028
State,RF,rcp45,2080,8,250m,15.90175965,43.98344044,1.69076406
State,RF,rcp45,2080,9,250m,5.13305986,43.72169655,2.983201226
State,RF,rcp45,2080,10,250m,0.744386091,16.80405165,4.048777739
State,RF,rcp45,2080,11,250m,123.405852,144.5064793,99.83668645
State,RF,rcp45,2080,12,250m,6.093546524,35.90515303,1.081659774
State,RF,rcp45,2081,1,250m,35.11049072,44.87988404,146.1796392
State,RF,rcp45,2081,2,250m,7.728691793,32.78925177,27.46837934
State,RF,rcp45,2081,3,250m,28.52009301,43.42177443,10.59344212
State,RF,rcp45,2081,4,250m,20.42454824,63.21297047,10.80254483
State,RF,rcp45,2081,5,250m,15.9076041,20.63737027,5.495053331
State,RF,rcp45,2081,6,250m,4.684336029,16.23160539,0.977726107
State,RF,rcp45,2081,7,250m,7.030247097,53.17856813,8.677387476
State,RF,rcp45,2081,8,250m,1.61817415,9.529802714,0.556204215
State,RF,rcp45,2081,9,250m,6.154676433,35.1723256,13.47309828
State,RF,rcp45,2081,10,250m,4.953873682,41.29964385,20.80009349
State,RF,rcp45,2081,11,250m,96.92047219,101.6795522,68.04009374
State,RF,rcp45,2081,12,250m,9.429127907,52.2305701,15.07201314
State,RF,rcp45,2082,1,250m,28.17751344,60.76928131,38.96981684
State,RF,rcp45,2082,2,250m,189.0793226,195.2705325,127.2224706
State,RF,rcp45,2082,3,250m,6.654586842,27.2572253,11.46036339
State,RF,rcp45,2082,4,250m,35.6151628,114.261489,38.70780055
State,RF,rcp45,2082,5,250m,96.65654678,113.0001183,116.8181445
State,RF,rcp45,2082,6,250m,2.656769198,16.09984932,0.311265645
State,RF,rcp45,2082,7,250m,2.328974761,15.67179015,29.40643819
State,RF,rcp45,2082,8,250m,6.388520957,81.22646455,21.55791887
State,RF,rcp45,2082,9,250m,19.06838892,40.29865909,41.11818345
State,RF,rcp45,2082,10,250m,28.14132105,61.36306447,15.38577374
State,RF,rcp45,2082,11,250m,24.15256978,56.06301092,61.94896762
State,RF,rcp45,2082,12,250m,47.8905303,62.33123902,51.91182836
State,RF,rcp45,2083,1,250m,22.73419127,17.92475494,13.49566205
State,RF,rcp45,2083,2,250m,1.336373426,4.340218411,10.5559024
State,RF,rcp45,2083,3,250m,5.976327556,16.84470567,16.28823105
State,RF,rcp45,2083,4,250m,28.90506594,69.58865654,24.19693073
State,RF,rcp45,2083,5,250m,5.988713561,20.48721631,4.041167458
State,RF,rcp45,2083,6,250m,1.394718165,25.18646621,7.483740131
State,RF,rcp45,2083,7,250m,13.06587232,93.73055285,60.82460944
State,RF,rcp45,2083,8,250m,16.55634286,34.61429329,12.99580359
State,RF,rcp45,2083,9,250m,8.675176874,22.27080157,10.55799611
State,RF,rcp45,2083,10,250m,106.648128,175.4012676,120.0908108
State,RF,rcp45,2083,11,250m,18.41444252,42.91668924,24.41550668
State,RF,rcp45,2083,12,250m,12.7199009,13.19410738,3.867978374
State,RF,rcp45,2084,1,250m,100.3892935,132.4650292,177.6029142
State,RF,rcp45,2084,2,250m,203.7613812,198.8830661,128.8269374
State,RF,rcp45,2084,3,250m,102.8274255,170.6261784,99.3953673
State,RF,rcp45,2084,4,250m,24.92606727,56.52953654,0.523729766
State,RF,rcp45,2084,5,250m,13.43459001,44.048592,49.13611094
State,RF,rcp45,2084,6,250m,3.080821372,12.62489264,1.290935546
State,RF,rcp45,2084,7,250m,16.10413688,61.91031326,11.13024267
State,RF,rcp45,2084,8,250m,23.95658853,71.4239248,16.73003523
State,RF,rcp45,2084,9,250m,8.119069976,38.20647032,12.56498337
State,RF,rcp45,2084,10,250m,14.29844608,52.08897291,2.811531762
State,RF,rcp45,2084,11,250m,3.48561968,13.03768029,6.301335096
State,RF,rcp45,2084,12,250m,17.33913751,27.56239511,24.27068949
State,RF,rcp45,2085,1,250m,121.2090361,168.5972418,196.8238487
State,RF,rcp45,2085,2,250m,242.7294879,266.9852379,176.0497487
State,RF,rcp45,2085,3,250m,44.3795954,46.60228226,36.80607446
State,RF,rcp45,2085,4,250m,10.47025626,84.83097522,10.27215147
State,RF,rcp45,2085,5,250m,23.37316867,31.69745022,28.96460168
State,RF,rcp45,2085,6,250m,1.754410888,25.24504771,7.846102118
State,RF,rcp45,2085,7,250m,0.80203837,20.72804122,1.04117386
State,RF,rcp45,2085,8,250m,2.021583431,20.61781337,2.354572803
State,RF,rcp45,2085,9,250m,22.35196404,25.22413345,44.48143991
State,RF,rcp45,2085,10,250m,18.4712436,34.13650069,43.46542931
State,RF,rcp45,2085,11,250m,77.66498048,125.7580769,60.75193501
State,RF,rcp45,2085,12,250m,39.10372986,41.54063566,40.41843255
State,RF,rcp45,2086,1,250m,233.7685698,298.8910248,281.1151276
State,RF,rcp45,2086,2,250m,31.58997311,89.39189123,46.03669326
State,RF,rcp45,2086,3,250m,0.133023415,3.391200522,0.4099904
State,RF,rcp45,2086,4,250m,13.45414197,21.26280409,33.53424708
State,RF,rcp45,2086,5,250m,29.9149045,7.440679035,41.66033808
State,RF,rcp45,2086,6,250m,4.447161305,27.80453986,3.749449253
State,RF,rcp45,2086,7,250m,3.524034919,20.42773984,0.509428653
State,RF,rcp45,2086,8,250m,5.957774139,25.3293271,11.73608454
State,RF,rcp45,2086,9,250m,54.33785231,75.54995482,193.9560165
State,RF,rcp45,2086,10,250m,25.37082848,62.57736796,20.97601557
State,RF,rcp45,2086,11,250m,104.9868021,137.2079361,245.3432744
State,RF,rcp45,2086,12,250m,225.9576768,227.088407,155.5406837
State,RF,rcp45,2087,1,250m,103.6388068,99.1463952,82.62131627
State,RF,rcp45,2087,2,250m,13.98754567,14.93353146,11.53847996
State,RF,rcp45,2087,3,250m,127.6210616,111.8631532,69.01167488
State,RF,rcp45,2087,4,250m,60.43371812,80.45435624,41.63323847
State,RF,rcp45,2087,5,250m,25.455832,37.58405812,9.927546501
State,RF,rcp45,2087,6,250m,9.564579238,16.09125492,5.36698703
State,RF,rcp45,2087,7,250m,7.240260448,58.8755518,37.6365579
State,RF,rcp45,2087,8,250m,65.09044007,74.26691686,16.36988298
State,RF,rcp45,2087,9,250m,1.765283903,10.50789824,2.564000686
State,RF,rcp45,2087,10,250m,13.91197038,123.1192473,28.65292088
State,RF,rcp45,2087,11,250m,59.5864297,91.13627454,53.77822304
State,RF,rcp45,2087,12,250m,11.81964437,68.99110029,13.30385113
State,RF,rcp45,2088,1,250m,18.14109571,48.46312661,19.21487522
State,RF,rcp45,2088,2,250m,14.37942606,40.04043524,7.7768749
State,RF,rcp45,2088,3,250m,76.92801438,57.45117829,91.30894152
State,RF,rcp45,2088,4,250m,15.27176623,31.25207502,2.629404088
State,RF,rcp45,2088,5,250m,4.9459713,77.31615211,2.966051877
State,RF,rcp45,2088,6,250m,20.27664887,28.46574739,6.009928147
State,RF,rcp45,2088,7,250m,3.746879619,16.56232662,2.870424132
State,RF,rcp45,2088,8,250m,3.009142322,17.47719216,5.035521229
State,RF,rcp45,2088,9,250m,6.194827465,58.89613795,14.52345816
State,RF,rcp45,2088,10,250m,4.068377986,4.764987657,2.367040495
State,RF,rcp45,2088,11,250m,15.45014188,24.71259857,2.650778671
State,RF,rcp45,2088,12,250m,45.32461219,61.5284426,56.85308234
State,RF,rcp45,2089,1,250m,35.0973786,31.2118681,9.901640654
State,RF,rcp45,2089,2,250m,112.9649876,241.825105,79.92520714
State,RF,rcp45,2089,3,250m,3.308013233,16.41565189,2.853466809
State,RF,rcp45,2089,4,250m,16.22631334,20.18342284,5.230926514
State,RF,rcp45,2089,5,250m,32.35889849,98.02735228,47.76803366
State,RF,rcp45,2089,6,250m,5.478154446,26.21198599,2.149884184
State,RF,rcp45,2089,7,250m,2.206602691,9.119890155,0.510484539
State,RF,rcp45,2089,8,250m,4.092458427,16.6179557,2.729079624
State,RF,rcp45,2089,9,250m,0.650398005,16.63435029,17.66535727
State,RF,rcp45,2089,10,250m,225.9544123,208.565976,138.4907265
State,RF,rcp45,2089,11,250m,5.81056555,30.84397783,1.021264772
State,RF,rcp45,2089,12,250m,3.249698005,13.29070488,2.833993614
State,RF,rcp45,2090,1,250m,17.97954037,23.03009129,37.82624054
State,RF,rcp45,2090,2,250m,264.9646185,256.2023082,212.2982127
State,RF,rcp45,2090,3,250m,34.63434999,55.76663875,19.1474069
State,RF,rcp45,2090,4,250m,4.424200433,12.8333585,1.275866409
State,RF,rcp45,2090,5,250m,25.36213479,31.40738551,47.57061005
State,RF,rcp45,2090,6,250m,5.786938602,5.75922707,13.48273063
State,RF,rcp45,2090,7,250m,5.031261403,41.11846128,10.76148582
State,RF,rcp45,2090,8,250m,5.542936647,30.6608994,4.200414121
State,RF,rcp45,2090,9,250m,162.4902404,219.0804348,116.3611514
State,RF,rcp45,2090,10,250m,6.571033732,20.81787257,11.5626421
State,RF,rcp45,2090,11,250m,98.6868222,206.3831134,163.5199445
State,RF,rcp45,2090,12,250m,6.126741163,26.04047092,33.2989397
State,RF,rcp45,2091,1,250m,17.15088371,41.65579042,20.89223162
State,RF,rcp45,2091,2,250m,18.01512736,36.80162136,57.9046189
State,RF,rcp45,2091,3,250m,110.1915401,80.50356526,21.46544854
State,RF,rcp45,2091,4,250m,34.83506615,55.93228661,62.46510188
State,RF,rcp45,2091,5,250m,6.726179228,37.25311242,9.750171741
State,RF,rcp45,2091,6,250m,12.32642903,45.31243351,8.173237443
State,RF,rcp45,2091,7,250m,11.14679722,20.58611439,2.776820501
State,RF,rcp45,2091,8,250m,9.730074756,29.51635868,7.171476126
State,RF,rcp45,2091,9,250m,20.76344825,81.41298476,5.149084051
State,RF,rcp45,2091,10,250m,5.30388274,16.63931341,17.70734477
State,RF,rcp45,2091,11,250m,2.464204751,6.044957302,1.429862887
State,RF,rcp45,2091,12,250m,93.37400206,111.9448969,85.34428088
State,RF,rcp45,2092,1,250m,84.29325024,80.04093883,89.24351692
State,RF,rcp45,2092,2,250m,21.74197489,41.81535244,24.52997287
State,RF,rcp45,2092,3,250m,83.73978796,137.6240164,65.89087232
State,RF,rcp45,2092,4,250m,69.62166383,70.89784512,55.95634747
State,RF,rcp45,2092,5,250m,7.864407746,25.35136007,1.858612458
State,RF,rcp45,2092,6,250m,9.155928207,17.99357144,15.17473412
State,RF,rcp45,2092,7,250m,8.403097261,17.84017294,3.324963788
State,RF,rcp45,2092,8,250m,3.276262574,21.87489941,13.92824912
State,RF,rcp45,2092,9,250m,37.69980646,61.57863729,76.72943306
State,RF,rcp45,2092,10,250m,19.90244955,93.73555658,18.16804036
State,RF,rcp45,2092,11,250m,69.41886528,84.86212913,58.84380309
State,RF,rcp45,2092,12,250m,68.98436711,79.57622664,71.20252609
State,RF,rcp45,2093,1,250m,71.81744264,74.19423723,79.79345067
State,RF,rcp45,2093,2,250m,26.51992618,24.36171227,38.80177498
