Model,Parameter,Time,Year,Month,Resolution,Ala Wai Canal,NOAA USC00516122 (Manoa),NOAA USW00022521 (HNL)
State,Temp,pres,1990,1,250m,23.73591459,22.87321824,22.70675303
State,Temp,pres,1990,2,250m,22.42571952,21.62236959,21.41974284
State,Temp,pres,1990,3,250m,23.30393829,22.37937891,22.30381165
State,Temp,pres,1990,4,250m,24.35316929,23.42301939,23.29843292
State,Temp,pres,1990,5,250m,24.71581607,23.5064062,23.79245402
State,Temp,pres,1990,6,250m,25.53391309,24.27263965,24.95123189
State,Temp,pres,1990,7,250m,26.22647635,24.9972362,25.44208679
State,Temp,pres,1990,8,250m,27.22205142,26.00061286,26.71919149
State,Temp,pres,1990,9,250m,27.07735631,25.86659657,26.45831706
State,Temp,pres,1990,10,250m,26.56464827,25.52292079,25.604275
State,Temp,pres,1990,11,250m,25.47277608,24.52647438,24.63512573
State,Temp,pres,1990,12,250m,24.26611281,23.22037112,23.19322103
State,Temp,pres,1991,1,250m,23.51898992,22.63124691,22.21518606
State,Temp,pres,1991,2,250m,23.31517748,22.60570837,21.83783875
State,Temp,pres,1991,3,250m,22.80226738,21.72937692,22.12296448
State,Temp,pres,1991,4,250m,24.02054025,22.8556953,23.20104624
State,Temp,pres,1991,5,250m,25.0408585,23.84886478,24.26988627
State,Temp,pres,1991,6,250m,25.68445988,24.47722437,24.97019602
State,Temp,pres,1991,7,250m,26.22756589,24.97220536,25.50967306
State,Temp,pres,1991,8,250m,26.68795989,25.4253606,26.11258087
State,Temp,pres,1991,9,250m,26.821079,25.71422447,25.8890269
State,Temp,pres,1991,10,250m,26.87752149,25.92286535,25.86540883
State,Temp,pres,1991,11,250m,26.28613157,25.24392229,25.19931946
State,Temp,pres,1991,12,250m,24.65927721,23.69437672,23.59632772
State,Temp,pres,1992,1,250m,23.19549617,22.37511124,21.85145721
State,Temp,pres,1992,2,250m,22.55290149,21.63678984,21.23308207
State,Temp,pres,1992,3,250m,23.36266783,22.30447584,22.0379425
State,Temp,pres,1992,4,250m,24.09238016,23.14976831,22.74213308
State,Temp,pres,1992,5,250m,25.23590826,24.33792218,24.13210195
State,Temp,pres,1992,6,250m,26.63832428,25.40000963,25.85322215
State,Temp,pres,1992,7,250m,27.08818171,25.95579235,26.24608256
State,Temp,pres,1992,8,250m,27.2363317,26.02991783,26.71395772
State,Temp,pres,1992,9,250m,27.15823466,26.00945107,26.48548279
State,Temp,pres,1992,10,250m,26.68982229,25.69902037,25.64599762
State,Temp,pres,1992,11,250m,25.38315238,24.40765776,24.26977183
State,Temp,pres,1992,12,250m,24.56973489,23.5926022,23.5054718
State,Temp,pres,1993,1,250m,22.76924516,21.94278495,21.31037038
State,Temp,pres,1993,2,250m,22.21286371,21.25919969,20.65407969
State,Temp,pres,1993,3,250m,23.00113561,21.84779608,21.83965708
State,Temp,pres,1993,4,250m,24.39081283,23.3745166,23.45326385
State,Temp,pres,1993,5,250m,24.58211962,23.44266054,23.59791463
State,Temp,pres,1993,6,250m,25.99504159,24.76928852,25.08976898
State,Temp,pres,1993,7,250m,26.66425858,25.47554915,25.97382253
State,Temp,pres,1993,8,250m,27.15572259,25.97060426,26.5440155
State,Temp,pres,1993,9,250m,26.96632602,25.84676809,26.07965749
State,Temp,pres,1993,10,250m,26.34299226,25.26315895,25.34828339
State,Temp,pres,1993,11,250m,24.62071496,23.55923682,23.5683075
State,Temp,pres,1993,12,250m,23.58078585,22.6056807,22.38099314
State,Temp,pres,1994,1,250m,22.6885606,21.80915256,21.42588704
State,Temp,pres,1994,2,250m,22.95305245,21.99494039,22.10878398
State,Temp,pres,1994,3,250m,23.33125294,22.34346044,22.41079865
State,Temp,pres,1994,4,250m,23.88967988,22.71655722,23.00436554
State,Temp,pres,1994,5,250m,25.04195711,23.84734463,24.25411123
State,Temp,pres,1994,6,250m,25.95110888,24.70264985,25.34310557
State,Temp,pres,1994,7,250m,26.5823291,25.35443128,26.13138733
State,Temp,pres,1994,8,250m,27.38065385,26.21716265,26.84150594
State,Temp,pres,1994,9,250m,26.85232798,25.68507361,26.26109467
State,Temp,pres,1994,10,250m,26.42327357,25.36671048,25.47974294
State,Temp,pres,1994,11,250m,25.26321471,24.27931948,24.58815155
State,Temp,pres,1994,12,250m,23.68968849,22.71076894,22.40988312
State,Temp,pres,1995,1,250m,23.02296114,22.17372815,22.09874624
State,Temp,pres,1995,2,250m,22.53416567,21.73194516,21.38791046
State,Temp,pres,1995,3,250m,23.43817284,22.59589137,22.09081167
State,Temp,pres,1995,4,250m,23.6938045,22.58231587,22.87592977
State,Temp,pres,1995,5,250m,24.71019566,23.52372035,23.78485514
State,Temp,pres,1995,6,250m,25.90709112,24.69679172,25.15001068
State,Temp,pres,1995,7,250m,26.6367138,25.41981163,26.18425395
State,Temp,pres,1995,8,250m,26.93137974,25.70108744,26.37096812
State,Temp,pres,1995,9,250m,27.34460266,26.24585287,26.33271688
State,Temp,pres,1995,10,250m,26.58682485,25.43345862,25.72329356
State,Temp,pres,1995,11,250m,25.72454798,24.75559506,24.62789815
State,Temp,pres,1995,12,250m,25.30740238,24.45009428,23.75946452
State,Temp,pres,1996,1,250m,24.16257123,23.28523627,22.70486348
State,Temp,pres,1996,2,250m,22.77777058,21.84662278,21.86878357
State,Temp,pres,1996,3,250m,22.74936753,21.74633552,21.34802144
State,Temp,pres,1996,4,250m,25.06349719,24.04592749,23.9177007
State,Temp,pres,1996,5,250m,25.74497487,24.62523653,24.70378011
State,Temp,pres,1996,6,250m,27.07847716,25.89128103,26.37800496
State,Temp,pres,1996,7,250m,27.03562758,25.82593288,26.35997416
State,Temp,pres,1996,8,250m,27.75436688,26.6227797,26.80665995
State,Temp,pres,1996,9,250m,27.76358735,26.66138984,26.98725789
State,Temp,pres,1996,10,250m,27.2727183,26.32907127,26.39774475
State,Temp,pres,1996,11,250m,25.73042393,24.78411828,24.67976786
State,Temp,pres,1996,12,250m,24.02451338,23.07633234,23.09353282
State,Temp,pres,1997,1,250m,22.96540201,22.18556856,21.79218191
State,Temp,pres,1997,2,250m,24.08230922,23.18448104,22.75037028
State,Temp,pres,1997,3,250m,24.19227267,23.23482431,23.18160909
State,Temp,pres,1997,4,250m,24.48412606,23.58280291,23.48436127
State,Temp,pres,1997,5,250m,24.85792136,23.88554512,23.79774119
State,Temp,pres,1997,6,250m,26.4032093,25.11686326,25.66924184
State,Temp,pres,1997,7,250m,26.83079391,25.56968553,26.25023041
State,Temp,pres,1997,8,250m,27.38840485,26.19872047,26.4269399
State,Temp,pres,1997,9,250m,27.07781802,25.88863718,26.02370351
State,Temp,pres,1997,10,250m,26.64497884,25.63124375,25.45925039
State,Temp,pres,1997,11,250m,24.96366146,23.9129297,23.64271444
State,Temp,pres,1997,12,250m,23.40859432,22.43950408,22.15189768
State,Temp,pres,1998,1,250m,23.06059798,22.33498789,21.50305583
State,Temp,pres,1998,2,250m,22.92959041,22.09820299,21.53582408
State,Temp,pres,1998,3,250m,24.01945522,23.0772933,22.80324707
State,Temp,pres,1998,4,250m,23.3106918,22.14447148,22.50061951
State,Temp,pres,1998,5,250m,23.68847585,22.48023181,23.06930949
State,Temp,pres,1998,6,250m,24.82500539,23.58486434,24.04251251
State,Temp,pres,1998,7,250m,25.32329252,24.08324566,24.73101196
State,Temp,pres,1998,8,250m,26.42070765,25.1905715,25.71552684
State,Temp,pres,1998,9,250m,25.89112206,24.69308176,24.85700633
State,Temp,pres,1998,10,250m,25.33880425,24.16778542,24.43398692
