Model,Parameter,Time,Year,Month,Resolution,Ala Wai Canal,NOAA USC00516122 (Manoa),NOAA USW00022521 (HNL)
State,Temp,rcp45,2080,1,250m,25.30776718,24.46340434,24.42223765
State,Temp,rcp45,2080,2,250m,24.13838428,23.27703658,23.03889364
State,Temp,rcp45,2080,3,250m,24.93192259,24.07128887,24.06532186
State,Temp,rcp45,2080,4,250m,26.1594463,25.24505446,25.13741709
State,Temp,rcp45,2080,5,250m,26.08904909,24.87469076,25.35744375
State,Temp,rcp45,2080,6,250m,27.24209663,25.99742705,26.72506104
State,Temp,rcp45,2080,7,250m,28.10168291,26.8699843,27.53686167
State,Temp,rcp45,2080,8,250m,29.20479746,27.97876975,28.72973785
State,Temp,rcp45,2080,9,250m,29.03596834,27.82004715,28.38131866
State,Temp,rcp45,2080,10,250m,28.430457,27.290269,27.77034403
State,Temp,rcp45,2080,11,250m,27.09037325,26.20771507,26.37585856
State,Temp,rcp45,2080,12,250m,26.17497071,25.19633476,25.22437693
State,Temp,rcp45,2081,1,250m,25.23647919,24.37780417,24.14933929
State,Temp,rcp45,2081,2,250m,25.31181172,24.59616712,24.07620646
State,Temp,rcp45,2081,3,250m,24.24192198,23.12152525,23.60298309
State,Temp,rcp45,2081,4,250m,25.85917912,24.78630684,25.2748174
State,Temp,rcp45,2081,5,250m,26.59032301,25.40420932,25.98490804
State,Temp,rcp45,2081,6,250m,27.48573154,26.26980915,26.91567128
State,Temp,rcp45,2081,7,250m,27.9266082,26.67111206,27.4647817
State,Temp,rcp45,2081,8,250m,28.6153711,27.31433209,28.10665029
State,Temp,rcp45,2081,9,250m,28.89659731,27.77665077,28.1206426
State,Temp,rcp45,2081,10,250m,28.88891724,27.86913544,28.10315857
State,Temp,rcp45,2081,11,250m,28.15076111,27.14858282,27.25231323
State,Temp,rcp45,2081,12,250m,26.27936352,25.23912382,25.34123128
State,Temp,rcp45,2082,1,250m,24.85711885,23.98988416,23.64901886
State,Temp,rcp45,2082,2,250m,24.19948459,23.31963143,22.95760498
State,Temp,rcp45,2082,3,250m,24.7158864,23.6623956,23.344133
State,Temp,rcp45,2082,4,250m,25.98239846,24.97221991,24.66190745
State,Temp,rcp45,2082,5,250m,26.80138642,25.98753694,25.90784353
State,Temp,rcp45,2082,6,250m,28.28029974,27.03863369,27.66997935
State,Temp,rcp45,2082,7,250m,28.92291088,27.66470819,28.36110586
State,Temp,rcp45,2082,8,250m,29.06826292,27.84130262,28.54671885
State,Temp,rcp45,2082,9,250m,29.32562682,28.24688248,28.83081207
State,Temp,rcp45,2082,10,250m,29.15250054,28.11588892,28.39784139
State,Temp,rcp45,2082,11,250m,27.10436062,26.04465775,26.14626973
State,Temp,rcp45,2082,12,250m,26.26893578,25.24927598,25.36059723
State,Temp,rcp45,2083,1,250m,24.73852236,23.93704945,23.32092438
State,Temp,rcp45,2083,2,250m,24.2724541,23.29288454,22.80404816
State,Temp,rcp45,2083,3,250m,24.73368033,23.57435412,23.64669698
State,Temp,rcp45,2083,4,250m,25.90554154,24.78572,25.28204498
State,Temp,rcp45,2083,5,250m,26.13294276,24.9656065,25.24982351
State,Temp,rcp45,2083,6,250m,27.69482203,26.47805703,26.87216085
State,Temp,rcp45,2083,7,250m,28.59231264,27.43199951,27.98227844
State,Temp,rcp45,2083,8,250m,28.96016079,27.75440597,28.46338806
State,Temp,rcp45,2083,9,250m,28.93356664,27.86548311,28.20287221
State,Temp,rcp45,2083,10,250m,28.00526511,27.02581996,26.98879649
State,Temp,rcp45,2083,11,250m,26.36587236,25.27589019,25.35380198
State,Temp,rcp45,2083,12,250m,25.30647135,24.28328232,24.25974935
State,Temp,rcp45,2084,1,250m,24.39093573,23.50338299,23.0600118
State,Temp,rcp45,2084,2,250m,24.83653235,23.94369164,23.86103973
State,Temp,rcp45,2084,3,250m,24.64961951,23.70400504,23.79623566
State,Temp,rcp45,2084,4,250m,25.41265709,24.18208532,24.732164
State,Temp,rcp45,2084,5,250m,26.51213533,25.35069036,25.8469101
State,Temp,rcp45,2084,6,250m,27.65356749,26.39001028,27.15744425
State,Temp,rcp45,2084,7,250m,28.32655012,27.08077274,27.93818309
State,Temp,rcp45,2084,8,250m,29.27414922,28.08667778,28.92417297
State,Temp,rcp45,2084,9,250m,28.68709423,27.5137075,28.14212952
State,Temp,rcp45,2084,10,250m,28.48627338,27.41494092,27.75354411
State,Temp,rcp45,2084,11,250m,26.80515348,25.69299499,26.24681753
State,Temp,rcp45,2084,12,250m,25.36855435,24.44017566,24.23676198
State,Temp,rcp45,2085,1,250m,24.56986836,23.71694705,23.74327749
State,Temp,rcp45,2085,2,250m,24.35188448,23.52811004,23.1778834
State,Temp,rcp45,2085,3,250m,25.23622538,24.40493912,24.00188344
State,Temp,rcp45,2085,4,250m,25.45764124,24.45084698,24.42079061
State,Temp,rcp45,2085,5,250m,26.22335569,25.09602168,25.41892649
State,Temp,rcp45,2085,6,250m,27.61769816,26.3889176,26.99838155
State,Temp,rcp45,2085,7,250m,28.35994425,27.12544015,27.98545736
State,Temp,rcp45,2085,8,250m,28.74530229,27.50667052,28.24771271
State,Temp,rcp45,2085,9,250m,29.27683938,28.25923833,28.34186961
State,Temp,rcp45,2085,10,250m,28.54664084,27.39226432,27.77649078
State,Temp,rcp45,2085,11,250m,27.57406507,26.62204744,26.71967723
State,Temp,rcp45,2085,12,250m,27.18247637,26.41881492,25.84663798
State,Temp,rcp45,2086,1,250m,26.19005668,25.26137251,24.9364563
State,Temp,rcp45,2086,2,250m,24.0664801,23.09872018,23.10377401
State,Temp,rcp45,2086,3,250m,24.39096037,23.41067782,23.02003377
State,Temp,rcp45,2086,4,250m,26.74745009,25.71390021,25.66777445
State,Temp,rcp45,2086,5,250m,27.35958595,26.20328578,26.55139567
State,Temp,rcp45,2086,6,250m,28.7026441,27.46552237,28.08636627
State,Temp,rcp45,2086,7,250m,28.87588062,27.64971756,28.36205953
State,Temp,rcp45,2086,8,250m,29.62621477,28.45004105,28.93190409
State,Temp,rcp45,2086,9,250m,29.72887773,28.77120456,28.9155899
State,Temp,rcp45,2086,10,250m,29.29578837,28.30773459,28.59260712
State,Temp,rcp45,2086,11,250m,27.36146785,26.40340898,26.41088257
State,Temp,rcp45,2086,12,250m,25.6480008,24.70567868,24.74178467
State,Temp,rcp45,2087,1,250m,24.46996136,23.71288701,23.26489665
State,Temp,rcp45,2087,2,250m,25.562502,24.75068212,24.22753042
State,Temp,rcp45,2087,3,250m,25.84405446,24.94219315,24.74987183
State,Temp,rcp45,2087,4,250m,26.42395999,25.45525477,25.45325368
State,Temp,rcp45,2087,5,250m,26.49768264,25.52930492,25.4134613
State,Temp,rcp45,2087,6,250m,28.29973565,27.03500622,27.6635732
State,Temp,rcp45,2087,7,250m,28.67287788,27.38531415,28.20130564
State,Temp,rcp45,2087,8,250m,29.29262893,28.08300565,28.67196299
State,Temp,rcp45,2087,9,250m,29.11990471,27.90067205,28.37361043
State,Temp,rcp45,2087,10,250m,28.60226316,27.47412575,27.66118774
State,Temp,rcp45,2087,11,250m,26.88716171,25.9294252,25.94641774
State,Temp,rcp45,2087,12,250m,25.13102238,24.07026209,24.17336426
State,Temp,rcp45,2088,1,250m,24.59476431,23.81457478,23.2097285
State,Temp,rcp45,2088,2,250m,24.39977871,23.59975058,23.02776744
State,Temp,rcp45,2088,3,250m,25.72146719,24.80872238,24.56794383
State,Temp,rcp45,2088,4,250m,24.95221738,23.7759458,24.33763275
State,Temp,rcp45,2088,5,250m,25.30427046,24.07419475,24.7486028
State,Temp,rcp45,2088,6,250m,26.45107452,25.24430101,25.91445312
State,Temp,rcp45,2088,7,250m,27.19941734,25.97538128,26.67111867
State,Temp,rcp45,2088,8,250m,28.29990093,27.0299566,27.73671875
State,Temp,rcp45,2088,9,250m,27.93561094,26.72234977,27.22695567
State,Temp,rcp45,2088,10,250m,27.26243086,26.05642306,26.50374502
State,Temp,rcp45,2088,11,250m,26.54666882,25.45610683,25.688178
State,Temp,rcp45,2088,12,250m,25.63180363,24.81011554,24.79981639
State,Temp,rcp45,2089,1,250m,25.18530343,24.30604662,24.13856405
State,Temp,rcp45,2089,2,250m,24.42220947,23.46144769,23.4753713
State,Temp,rcp45,2089,3,250m,24.6289823,23.47286906,23.82590383
State,Temp,rcp45,2089,4,250m,25.08777114,23.95948515,24.45616811
State,Temp,rcp45,2089,5,250m,26.20376295,25.22762257,25.41634267
